init,type,geometry,geo params,constraints,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
PCA,multi w GP geo,fourier_basis,4,"('variance', 'A', 'alpha', 'phi', 'f')",1,0.118310231,0,1,0,0.770132777,0,1.104962985,0,1,0.118310231,0.130728426,0.100678246
PCA,multi w GP geo,fourier_basis,4,"('variance', 'A')",1,0.118310231,0,1,0,0.770132777,0,1.104962985,0,1,0.118310231,0.130728426,0.100678246
PCA,multi w GP geo,fourier_basis,4,"('variance', 'A', 'alpha')",1,0.118310231,0,1,0,0.770132777,0,1.104962985,0,1,0.118310231,0.130728426,0.100678246
PCA,multi w GP geo,fourier_basis,4,"('variance', 'A', 'f')",1,0.118310231,0,1,0,0.770132777,0,1.104962985,0,1,0.118310231,0.130728426,0.100678246
PCA,multi w GP geo,fourier_basis,4,"('variance', 'A', 'phi')",1,0.118310231,0,1,0,0.770132777,0,1.104962985,0,1,0.118310231,0.130728426,0.100678246
PCA,multi w GP geo,fourier_basis,4,"('variance', 'A', 'f', 'phi')",1,0.118310231,0,1,0,0.770132777,0,1.104962985,0,1,0.118310231,0.130728426,0.100678246
PCA,multi w GP geo,fourier_basis,4,"('variance', 'A', 'alpha', 'phi')",1,0.118310231,0,1,0,0.770132777,0,1.104962985,0,1,0.118310231,0.130728426,0.100678246
PCA,multi w GP geo,fourier_basis,4,"('variance', 'A', 'f', 'alpha')",1,0.118310231,0,1,0,0.770132777,0,1.104962985,0,1,0.118310231,0.130728426,0.100678246
kernel pca:rbf,kernel geo,fourier_basis,5,"('variance', 'A', 'R', 'n', 'r')",10,0.115585095,0.01485287,0.961547619,0.075698491,0.863607328,0.025738499,1.093092268,0.115159808,21,0.120207354,0.131397729,0.113476042
PCA,kernel geo,ellipse,,"('variance', 'A', 'R', 'n', 'r')",10,0.118037829,0.020578561,1,0,0.790339376,0.011545963,1.118027394,0.068897232,51,0.118037829,0.131969527,0.104300713
PCA,multi w GP geo,toroid,,"('variance',)",10,0.118601612,0.013498952,1,0,0.81436968,0.013802876,1.115908397,0.053776791,21,0.118601612,0.132348535,0.107780634
umap:euclidean,map geo,fourier_basis,4,"('variance', 'A', 'R', 'n', 'r')",10,0.122509731,0.009413226,0.95485119,0.040988756,0.81099207,0.017653124,1.040882766,0.058821265,31,0.128302433,0.133547792,0.1083062
umap:euclidean,map geo,fourier_basis,2,"('variance', 'A', 'R', 'n', 'r')",10,0.120159982,0.008294572,0.953928571,0.041957066,0.788020859,0.012025568,1.0624587,0.054142246,31,0.125963291,0.133830794,0.105461457
isomap:15,map geo,fourier_basis,5,"('variance', 'A', 'R', 'n', 'r')",10,0.121695446,0.01182037,0.995714286,0.012857143,0.837508147,0.014644869,1.110465607,0.057871729,71,0.122219243,0.135720266,0.113666828
