init,type,geometry,geo params,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
PCA,kernel circular,fourier_basis,8,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
PCA,kernel circular,fourier_basis,9,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
PCA,kernel circular,fourier_basis,10,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
PCA,kernel circular,fourier_basis,11,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
kernel pca:rbf,kernel circular,fourier_basis,5,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
kernel pca:rbf,kernel circular,fourier_basis,6,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
kernel pca:rbf,kernel circular,fourier_basis,7,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
kernel pca:rbf,kernel circular,fourier_basis,8,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
kernel pca:rbf,kernel circular,fourier_basis,9,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
kernel pca:rbf,kernel circular,fourier_basis,10,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
kernel pca:rbf,kernel circular,fourier_basis,11,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
umap:cosine,kernel circular,fourier_basis,5,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
umap:cosine,kernel circular,fourier_basis,6,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
umap:cosine,kernel circular,fourier_basis,7,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
umap:cosine,kernel circular,fourier_basis,8,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
umap:cosine,kernel circular,fourier_basis,9,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
umap:cosine,kernel circular,fourier_basis,10,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
umap:cosine,kernel circular,fourier_basis,11,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
umap:euclidean,kernel circular,fourier_basis,5,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
umap:euclidean,kernel circular,fourier_basis,6,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
umap:euclidean,kernel circular,fourier_basis,7,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
umap:euclidean,kernel circular,fourier_basis,8,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
umap:euclidean,kernel circular,fourier_basis,9,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
umap:euclidean,kernel circular,fourier_basis,10,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
umap:euclidean,kernel circular,fourier_basis,11,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
PCA,kernel circular,ellipse,,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
PCA,kernel circular,toroid,,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
PCA,kernel circular,cocentric_circles,,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
kernel pca:rbf,kernel circular,ellipse,,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
kernel pca:rbf,kernel circular,toroid,,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
kernel pca:rbf,kernel circular,cocentric_circles,,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
umap:cosine,kernel circular,ellipse,,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
umap:cosine,kernel circular,toroid,,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
umap:cosine,kernel circular,cocentric_circles,,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
umap:euclidean,kernel circular,ellipse,,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
umap:euclidean,kernel circular,toroid,,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
umap:euclidean,kernel circular,cocentric_circles,,8,0.465128284,0.078844026,0.361567909,0.085345943,1.017014254,0.033043657,2.051905097,0.383598315,1,1.28642026,2.639612288,2.684523321
umap:cosine,mlp geo,toroid,,2,0.285065169,0.096955801,0.913863914,0.045732046,0.924019599,0.017360314,8.701192808,6.879865598,1,0.311933937,2.714197332,2.50797153
