init,geometry,geo params,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
umap:euclidean,fourier_basis,3,10,0.135315179,0.01612186,0.927928627,0.049213747,0.856445683,0.03363928,1.755393764,0.365961157,8,0.145824986,0.255980272,0.219233199
umap:cosine,klein bottle,,10,0.141307895,0.020407124,0.920424353,0.040799826,0.839610349,0.039217152,1.676726161,0.357052637,10,0.153524724,0.257418921,0.21613159
kernel pca:rbf,fourier_basis,3,10,0.155587819,0.008623342,0.95479798,0.029263526,0.789964692,0.021000968,1.610467697,0.312683231,28,0.162953653,0.262431595,0.207311694
umap:euclidean,fourier_basis,13,10,0.169728662,0.030754675,0.891179043,0.055448641,0.90279241,0.019446173,1.383155159,0.239976442,24,0.190454054,0.263427508,0.237820355
umap:cosine,fourier_basis,4,10,0.144521824,0.022740758,0.895174048,0.052024242,0.863099636,0.027164348,1.648276157,0.528509846,29,0.161445503,0.266106773,0.229676659
PCA,fourier_basis,6,10,0.169874083,0.017427827,0.940798091,0.044887173,0.886421196,0.024367229,1.483570312,0.159673077,26,0.180563805,0.267879101,0.237453713
umap:cosine,sphere,,10,0.163569455,0.01980154,0.905164613,0.050297951,1.023018261,0.019342718,1.489025275,0.277462997,29,0.18070686,0.269077082,0.275270769
PCA,spiral,,10,0.16618266,0.014121291,0.941358641,0.039593373,0.862089896,0.038790406,1.530716171,0.166689576,25,0.176534907,0.270224837,0.232958102
umap:euclidean,klein bottle,,10,0.142599719,0.019949193,0.900628483,0.048761073,0.861683109,0.022004225,1.721169155,0.626703733,15,0.158333566,0.272518849,0.234824889
PCA,fourier_basis,8,10,0.175202207,0.008151826,0.927106227,0.05177873,0.905145838,0.022671452,1.451282215,0.168714861,13,0.188977489,0.274259669,0.248244998
